기관코드,상위본부명,센터명,센터구분,도로명주소,지번주소,행정구역명,경도,위도,배치차량종류,배치차량대수,기준일자
6285770,인천공단소방서,고잔119안전센터,119안전센터,남동서로208,633,고잔동,126.693069,37.408125,"펌프차,물탱크차,경형펌프차,무인방수차,고성능화학차,생활구조차,구급차,조연차,굴절차,화학차",10,2026-05-08
6285771,인천공단소방서,옥련119안전센터,119안전센터,청량로155번길7,522-10,옥련동,126.6519,37.420713,"펌프차,물탱크차,구급차",3,2026-05-08
6285772,인천공단소방서,도림119안전센터,119안전센터,비류대로667,625-53,남촌동,126.709139,37.422682,"펌프차,물탱크차,구급차",3,2026-05-08
6285773,인천공단소방서,동춘119안전센터,119안전센터,앵고개로241,924-2,동춘동,126.671304,37.409133,"펌프차,물탱크차,굴절차,구급차",5,2026-05-08
6285881,인천공단소방서,논현119안전센터,119안전센터,소래역로109,603-6,논현동,126.72971,37.405286,"펌프차,물탱크차,굴절차,구급차",5,2026-05-08
6286578,인천공단소방서,소래119안전센터,119안전센터,에코중앙로86,766-2,논현동,126.720751,37.386286,"펌프차,물탱크차,고가차,구급차",4,2026-05-08
6286227,인천공단소방서,119구조대,구조대,남동서로208,633,고잔동,126.693405,37.407837,"구조차,구난차",2,2026-05-08
,인천서부소방서,연희119안전센터,119안전센터,서곶로 292,심곡동 303,서구,126.677171,37.543323,,9,2026-05-07
,인천서부소방서,가좌119안전센터,119안전센터,백범로 678번길17,가좌동 295-7,서구,126.682602,37.482276,,4,2026-05-07
,인천서부소방서,신현119안전센터,119안전센터,가정로 333-1,신현동 294-11,서구,126.672677,37.514425,,3,2026-05-07
,인천서부소방서,석남119안전센터,119안전센터,석남로 102,석남동 579-11,서구,126.672969,37.500636,,3,2026-05-07
,인천서부소방서,검암119안전센터,119안전센터,승학로 474,검암동 606-9,서구,126.673442,37.56406,,5,2026-05-07
,인천서부소방서,청라119안전센터,119안전센터,청라한내로 77,청라동 92-12,서구,126.627144,37.53221,,5,2026-05-07
,인천서부소방서,원창119안전센터,119안전센터,북항로 32번길 47-5,원창동 381-123,서구,126.644633,37.510549,,3,2026-05-07
,인천서부소방서,119구조대,119안전센터,서곶로 292,심곡동 303,서구,126.677171,37.543323,,2,2026-05-07
6286455,인천송도소방서,,소방서,인천 연수구 첨단대로60번길 15,인천 연수구 송도동 208-1,연수구,126.6515624,37.367172,"재난지휘차,행정차,진단차,장비운반차,현장지휘차,화재조사차",6,2026-05-08
6286461,인천송도소방서,미래119안전센터,119안전센터,인천 연수구 첨단대로60번길 15,인천 연수구 송도동 208-1,연수구,126.6515624,37.367172,"펌프차,물탱크차,고성능화학차,굴절사다리차,생활안전차,조연차,순찰차,승합차,화물차,구급차",10,2026-05-08
6286462,인천송도소방서,신송119안전센터,119안전센터,인천광역시 연수구 해돋이로 92,송도동 3-35,연수구,126.657685,37.394143,"펌프차,물탱크차,구급차",3,2026-05-08
6286604,인천송도소방서,영흥119안전센터,119안전센터,인천 옹진군 영흥면 영흥로 283-32,인천 옹진군 영흥면 내리 202-3,옹진군,126.49508,37.253018,"펌프차,물탱크차,구급차,구조버스",4,2026-05-08
6286658,인천송도소방서,국제119안전센터,119안전센터,인천광역시 연수구 센트럴로 412,송도동 313-9,연수구,126.634629,37.402652,"펌프차,물탱크차,고가사다리차,음압구급차,예비구급차",5,2026-05-08
6286463,인천송도소방서,119구조대,119안전센터,인천 연수구 첨단대로60번길 15,인천 연수구 송도동 208-1,연수구,126.6515624,37.367172,"구조공작차,구조버스",2,2026-05-08
,인천중부소방서,중앙119안전센터,119안전센터,인천광역시 중구 인중로 204,항동6가 2,중구,126.622427,37.470226,"지휘차, 화재조사차, 펌프차, 화학차, 고성능화학차, 고가차, 굴절차, 소형사다리차, 조연차, 생활구조대차, 구급차",11,2026-05-01
,인천중부소방서,송현119안전센터,119안전센터,인천광역시 중구 방축로 39,송현동 129-2,중구,126.650979,37.486319,"펌프차, 물탱크차, 구급차",3,2026-05-01
,인천중부소방서,송림119안전센터,119안전센터,인천광역시 동구 샛골로 133,송림동 58-10,동구,126.644071,37.474318,"펌프차, 물탱크차, 구급차",3,2026-05-01
,인천중부소방서,만석119안전센터,119안전센터,인천광역시 동구 제물량로 396,만석동 19-4,동구,126.625822,37.483383,"펌프차, 물탱크차, 구급차",3,2026-05-01
,인천중부소방서,연안119안전센터,119안전센터,인천광역시 중구 축항대로118번길 108,항동7가 82-4,중구,126.602964,37.445711,"펌프차, 물탱크차, 구급차",3,2026-05-01
,인천중부소방서,백령119안전센터,119안전센터,인천광역시 옹진군 백령면 백령남로 30,진촌리 629-1,옹진군,124.720745,37.967457,"펌프차(2), 구급차",3,2026-05-01
,인천중부소방서,소방정대,,인천광역시 중구 연안부두로128번길 16,항동7가 82-5,중구,126.595632,37.449012,소방정,1,2026-05-01
,인천중부소방서,119구조대,,인천광역시 중구 서해대로 397,항동7가 1-28,중구,126.631947,37.462394,"펌프차, 구조공작차, 구조버스",3,2026-05-01
,인천중부소방서,연평119재역대,119지역대,인천광역시 옹진군 연평면 연평로821번길 35,연평리 493-3,옹진군,125.701551,37.659155,"펌프차, 구급차",2,2026-05-01
,인천중부소방서,덕적119지역대,119지역대,인천광역시 옹진군 덕적면 덕적북로 113,진리 131,옹진군,126.145784,37.226564,"펌프차, 구급차",2,2026-05-01
,인천중부소방서,자월119지역대,119지역대,인천광역시 옹진군 자월면 자월서로 86,자월리 1065-11,옹진군,126.314353,37.250255,"펌프차, 구급차",2,2026-05-01
,인천중부소방서,대청119지역대,119지역대,인천광역시 옹진군 대청면 대청로244번길 45,대청리 583-1,옹진군,124.702237,37.833551,"펌프차, 구급차",2,2026-05-01
인천검단소방서,인천검단소방서,인천검단소방서,소방서,인천광역시 서구 원당대로 736,인천광역시 서구 당하동 1329,서구,126.682573,37.5937668,"재난지휘차,행정차,진단차,이동안전체험차,현장지휘차,화재조사차,장비운반차,예비구급차",8,2026-05-12
인천검단소방서,인천검단소방서,마전119안전센터,119안전센터,인천광역시 서구 원당대로 736,인천광역시 서구 당하동 1329,서구,126.682573,37.5937668,"펌프차,물탱크차,굴절차,고성능화학차,조연차,생활안전차,순찰차,화물차,승합차,구급차,고가차",11,2026-05-12
인천검단소방서,인천검단소방서,왕길119안전센터,119안전센터,인천광역시 서구 완정로 191,인천광역시 서구 왕길동 635-4,서구,126.6550834,37.6025802,"펌프차,물탱크차,구급차",3,2026-05-12
인천검단소방서,인천검단소방서,원당119안전센터,119안전센터,인천광역시 서구 원당대로 881,인천광역시 서구 원당동 854-2,서구,126.6996349,37.5938321,"펌프차,물탱크차,구급차",3,2026-05-12
인천검단소방서,인천검단소방서,대곡119지역대,119지역대,인천광역시 서구 대곡로 129,인천광역시 서구 대곡동 540-4,서구,126.6702733,37.6205436,펌프차,1,2026-05-12
인천검단소방서,인천검단소방서,오류119안전센터,119안전센터,인천광역시 서구 대촌로 6,인천광역시 서구 오류동 1735-3,서구,126.6325053,37.59446,"펌프차,예비펌프차,물탱크차,구급차",4,2026-05-12
인천검단소방서,인천검단소방서,북인천119화재진압대,화재진압대,인천광역시 서구 갑문4로25,인천광역시 서구 오류동 1545-2,서구,126.6067491,37.5660118,펌프차,1,2026-05-12
인천검단소방서,인천검단소방서,119구조대,119안전센터,인천광역시 서구 원당대로 736,인천광역시 서구 당하동 1329,서구,126.682573,37.5937668,"구조공작차,구난버스,트레일러",3,2026-05-12
,인천영종소방서,,소방서,인천광역시 중구 2제터미널대로 268,중구 운서동 3234,인천광역시,126.415516,37.4868732,"구급차, 지휘차, 화재조사차, 순찰차, 행정차, 장비운반차",9,2026-03-01
,인천영종소방서,공항119안전센터,119안전센터,인천광역시 중구 2제터미널대로 268,중구 운서동 3234,인천광역시,126.415516,37.4868732,"고성능 화학차, 펌프차, 구급차, 생활안전차, 순찰차, 화물차, 긴급구조통제단차",7,2026-03-01
,인천영종소방서,북도119지역대,119지역대,인천광역시 옹진군 북도면 신도로 164,신도리 953,인천광역시,126.433761,37.5230702,"펌프차, 구급차",2,2026-03-01
,인천영종소방서,장봉119지역대,119지역대,인천광역시 옹진군 북도면 장봉로 566,장봉리 1057,인천광역시,126.336921,37.5346421,"펌프차, 구급차",2,2026-03-01
,인천영종소방서,운남119안전센터,119안전센터,인천광역시 중구 운남로 116,운남동 1571,인천광역시,126.533306,37.4880459,"굴절차, 펌프차, 물탱크차, 구급차",5,2026-03-01
,인천영종소방서,운서119안전센터,119안전센터,인천광역시 중구 흰바위로27번길 16,운서동 2792-1,인천광역시,126.488415,37.4937195,"굴절차, 화학차, 물탱크차, 구급차",4,2026-03-01
,인천영종소방서,용유119안전센터,119안전센터,인천광역시 중구 용유서로128번길 1,을왕동 186-28,인천광역시,126.393958,37.4485444,"펌프차, 물탱크차, 구급차",3,2026-03-01
,인천영종소방서,무의119지역대,119지역대,인천광역시 중구 대무의로 310-11,무의동 246-7,인천광역시,126.424834,37.3897203,"펌프차, 다목적 진화차, 구급차",3,2026-03-01
,인천영종소방서,119구조대,119안전센터,인천광역시 중구 인천대교고속도로 3-1,운남동 1113-70,인천광역시,126.513245,37.4715876,"물탱크차, 구급차, 구조공작차, 구조구난차",4,2026-03-01
x,인천소방본부,인천부평소방서,소방서,인천광역시 부평구 부평대로 324 ,갈산동 437-3,부평구,126.722126,37.520192,"지휘차,화재조사차,안전차 등",3,2026-05-01
x,인천부평소방서,갈산119안전센터,119안전센터,인천광역시 부평구 부평대로 324 ,갈산동 437-3,부평구,126.722135,37.520314,"펌프차,화학차,물탱크차,조연차,고성능화학차,고가차,저상펌프차, 구급차, 특별구급차등",9,2026-05-01
x,인천부평소방서,부흥119안전센터,119안전센터,인천광역시 부평구 부평대로 8,부평동 194-5,부평구,126.723433,37.49215,"펌프차,물탱크차,구급차",3,2026-05-01
x,인천부평소방서,십정119안전센터,119안전센터,인천광역시 부평구 경원대로 1111,십정동 160,부평구,126.697249,37.480235,"펌프차,물탱크차,구급차",3,2026-05-01
x,인천부평소방서,산곡119안전센터,119안전센터,인천광역시 부평구 마장로 198,산곡동 365-3,부평구,126.703026,37.495678,"펌프차,생활안전차,고가차,구급차,특별구급차",5,2026-05-01
x,인천부평소방서,부개119안전센터,119안전센터,인천광역시 부평구 부개로 6,부개동 501-9,부평구,126.739604,37.497865,"펌프차,물탱크차,구급차,특별구급차",4,2026-05-01
x,인천부평소방서,삼산119안전센터,119안전센터,인천광역시 부평구 충선로 252,삼산동 451-4,부평구,126.736106,37.511676,"펌프차,물탱크차,구급차",3,2026-05-01
